age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,age_group
41,blue-collar,married,primary,no,2453.0,yes,no,unknown,15,may,1052,1,-1,0,unknown,yes,second middle
42,technician,single,secondary,no,1364.0,yes,no,unknown,15,may,1867,6,-1,0,unknown,yes,second middle
36,services,single,secondary,no,281.0,yes,no,unknown,16,may,515,1,-1,0,unknown,yes,first middle
39,technician,married,tertiary,no,94.0,yes,yes,unknown,16,may,813,1,-1,0,unknown,yes,first middle
31,self-employed,single,tertiary,no,144.0,yes,no,unknown,16,may,676,1,-1,0,unknown,yes,first middle
26,blue-collar,married,secondary,no,246.0,yes,no,unknown,16,may,1143,3,-1,0,unknown,yes,young
31,blue-collar,married,secondary,no,92.0,yes,no,unknown,16,may,688,1,-1,0,unknown,yes,first middle
29,admin.,single,secondary,no,163.0,yes,yes,unknown,16,may,803,1,-1,0,unknown,yes,young
37,services,divorced,secondary,no,49.0,yes,no,unknown,16,may,619,2,-1,0,unknown,yes,first middle
33,blue-collar,single,secondary,no,-416.0,yes,no,unknown,16,may,767,2,-1,0,unknown,yes,first middle
24,technician,single,secondary,no,409.0,yes,no,unknown,16,may,912,1,-1,0,unknown,yes,young
50,admin.,divorced,secondary,no,363.0,yes,no,unknown,16,may,1340,1,-1,0,unknown,yes,adult
27,technician,single,tertiary,no,3706.0,yes,no,unknown,16,may,897,1,-1,0,unknown,yes,young
30,technician,single,secondary,no,863.0,yes,no,unknown,16,may,1193,5,-1,0,unknown,yes,first middle
34,blue-collar,married,primary,no,695.0,yes,yes,unknown,16,may,1064,4,-1,0,unknown,yes,first middle
37,management,single,secondary,no,792.0,yes,no,unknown,16,may,1187,4,-1,0,unknown,yes,first middle
41,admin.,single,secondary,no,1020.0,yes,no,unknown,19,may,882,1,-1,0,unknown,yes,second middle
47,blue-collar,married,secondary,no,863.0,yes,no,unknown,19,may,943,2,-1,0,unknown,yes,second middle
31,admin.,married,secondary,no,97.0,yes,no,unknown,19,may,607,1,-1,0,unknown,yes,first middle
31,blue-collar,married,secondary,no,754.0,yes,no,unknown,19,may,1022,4,-1,0,unknown,yes,first middle
43,services,divorced,secondary,no,1040.0,yes,no,unknown,19,may,552,3,-1,0,unknown,yes,second middle
37,management,divorced,tertiary,no,122.0,yes,no,unknown,19,may,1622,2,-1,0,unknown,yes,first middle
30,technician,single,tertiary,no,880.0,yes,yes,unknown,19,may,967,6,-1,0,unknown,yes,first middle
41,technician,married,secondary,no,501.0,yes,no,unknown,19,may,579,5,-1,0,unknown,yes,second middle
35,blue-collar,divorced,secondary,no,0.0,yes,no,unknown,20,may,1205,1,-1,0,unknown,yes,first middle
29,services,single,secondary,no,271.0,yes,no,unknown,20,may,1882,2,-1,0,unknown,yes,young
35,blue-collar,married,primary,no,102.0,yes,no,unknown,20,may,1334,1,-1,0,unknown,yes,first middle
31,blue-collar,married,secondary,no,2.0,yes,no,unknown,20,may,182,2,-1,0,unknown,yes,first middle
34,technician,single,secondary,no,85.0,yes,no,unknown,20,may,1182,4,-1,0,unknown,yes,first middle
31,admin.,single,secondary,no,431.0,yes,yes,unknown,20,may,1045,1,-1,0,unknown,yes,first middle
44,technician,divorced,secondary,no,982.0,yes,no,unknown,20,may,650,3,-1,0,unknown,yes,second middle
36,blue-collar,married,primary,no,408.0,yes,yes,unknown,20,may,1063,2,-1,0,unknown,yes,first middle
41,blue-collar,married,primary,no,1250.0,yes,no,unknown,20,may,1392,2,-1,0,unknown,yes,second middle
31,blue-collar,single,primary,no,216.0,yes,no,unknown,21,may,565,1,-1,0,unknown,yes,first middle
34,blue-collar,married,secondary,no,1207.0,yes,no,unknown,21,may,905,1,-1,0,unknown,yes,first middle
32,technician,married,secondary,no,791.0,yes,no,unknown,21,may,783,2,-1,0,unknown,yes,first middle
36,management,married,tertiary,no,849.0,yes,yes,unknown,21,may,958,2,-1,0,unknown,yes,first middle
30,blue-collar,single,secondary,yes,239.0,yes,no,unknown,21,may,412,1,-1,0,unknown,yes,first middle
37,technician,single,secondary,no,1211.0,yes,no,unknown,21,may,795,1,-1,0,unknown,yes,first middle
36,blue-collar,married,primary,no,599.0,yes,no,unknown,21,may,649,2,-1,0,unknown,yes,first middle
31,management,single,tertiary,no,825.0,yes,no,unknown,21,may,506,2,-1,0,unknown,yes,first middle
27,technician,married,secondary,no,2183.0,yes,yes,unknown,21,may,857,1,-1,0,unknown,yes,young
30,technician,single,tertiary,no,1289.0,yes,no,unknown,21,may,1697,2,-1,0,unknown,yes,first middle
37,technician,single,secondary,no,3326.0,yes,no,unknown,21,may,799,1,-1,0,unknown,yes,first middle
32,blue-collar,married,secondary,no,783.0,yes,no,unknown,21,may,923,3,-1,0,unknown,yes,first middle
33,blue-collar,married,secondary,no,0.0,yes,no,unknown,21,may,521,3,-1,0,unknown,yes,first middle
35,blue-collar,married,primary,no,994.0,yes,no,unknown,23,may,1349,8,-1,0,unknown,yes,first middle
35,self-employed,divorced,tertiary,no,1354.0,yes,no,unknown,23,may,736,2,-1,0,unknown,yes,first middle
30,blue-collar,single,secondary,no,239.0,yes,no,unknown,23,may,785,1,-1,0,unknown,yes,first middle
45,blue-collar,divorced,primary,no,-311.0,yes,no,unknown,23,may,1030,1,-1,0,unknown,yes,second middle
45,admin.,married,secondary,no,149.0,yes,no,unknown,23,may,893,3,-1,0,unknown,yes,second middle
33,blue-collar,married,secondary,no,1464.0,yes,no,unknown,23,may,588,3,-1,0,unknown,yes,first middle
40,blue-collar,married,primary,no,278.0,yes,no,unknown,23,may,1015,3,-1,0,unknown,yes,second middle
31,blue-collar,married,secondary,no,2910.0,yes,no,unknown,23,may,1392,2,-1,0,unknown,yes,first middle
30,technician,married,tertiary,no,541.0,yes,no,unknown,26,may,414,2,-1,0,unknown,yes,first middle
44,technician,divorced,secondary,no,1262.0,yes,no,unknown,26,may,788,11,-1,0,unknown,yes,second middle
34,services,married,secondary,no,-538.0,yes,no,unknown,26,may,682,1,-1,0,unknown,yes,first middle
37,blue-collar,married,secondary,no,125.0,no,no,unknown,26,may,679,2,-1,0,unknown,yes,first middle
28,self-employed,single,tertiary,no,0.0,yes,no,unknown,26,may,1560,2,-1,0,unknown,yes,young
32,admin.,single,secondary,no,620.0,yes,no,unknown,26,may,1234,3,-1,0,unknown,yes,first middle
37,blue-collar,divorced,secondary,no,316.0,yes,no,unknown,26,may,642,2,-1,0,unknown,yes,first middle
34,management,married,tertiary,no,2287.0,yes,no,unknown,26,may,895,4,-1,0,unknown,yes,first middle
38,admin.,divorced,secondary,no,198.0,yes,no,unknown,26,may,431,2,-1,0,unknown,yes,first middle
28,admin.,single,secondary,no,460.0,yes,no,unknown,26,may,741,6,-1,0,unknown,yes,young
31,management,divorced,tertiary,no,1145.0,yes,no,unknown,26,may,1272,4,-1,0,unknown,yes,first middle
59,services,married,secondary,no,-22.0,yes,no,unknown,26,may,748,3,-1,0,unknown,yes,adult
24,blue-collar,married,secondary,no,685.0,yes,no,unknown,26,may,896,3,-1,0,unknown,yes,young
26,services,single,secondary,no,901.0,yes,no,unknown,26,may,764,2,-1,0,unknown,yes,young
59,retired,single,secondary,no,351.0,yes,no,unknown,27,may,1063,5,-1,0,unknown,yes,adult
30,entrepreneur,single,primary,no,0.0,yes,yes,unknown,27,may,1051,1,-1,0,unknown,yes,first middle
37,admin.,married,secondary,no,274.0,yes,no,unknown,27,may,731,3,-1,0,unknown,yes,first middle
30,admin.,single,secondary,no,-213.0,yes,yes,unknown,27,may,751,1,-1,0,unknown,yes,first middle
25,blue-collar,married,secondary,no,97.0,yes,no,unknown,27,may,709,1,-1,0,unknown,yes,young
44,services,divorced,secondary,no,51.0,yes,yes,unknown,27,may,3094,2,-1,0,unknown,yes,second middle
29,management,married,tertiary,no,314.0,no,no,unknown,28,may,938,2,-1,0,unknown,yes,young
26,technician,single,secondary,no,668.0,yes,no,unknown,28,may,576,3,-1,0,unknown,yes,young
27,services,single,secondary,no,54.0,yes,no,unknown,28,may,543,2,-1,0,unknown,yes,young
25,self-employed,single,secondary,no,1242.0,yes,no,unknown,28,may,615,2,-1,0,unknown,yes,young
28,management,married,secondary,no,292.0,yes,no,unknown,28,may,507,1,-1,0,unknown,yes,young
23,services,single,secondary,no,665.0,yes,no,unknown,28,may,1183,1,-1,0,unknown,yes,young
34,management,single,tertiary,no,1058.0,yes,no,unknown,28,may,864,2,-1,0,unknown,yes,first middle
28,student,single,secondary,no,949.0,yes,no,unknown,28,may,1730,1,-1,0,unknown,yes,young
51,entrepreneur,married,secondary,no,606.0,yes,no,unknown,28,may,560,9,-1,0,unknown,yes,adult
35,blue-collar,married,secondary,no,0.0,yes,yes,unknown,29,may,543,1,-1,0,unknown,yes,first middle
35,admin.,married,secondary,no,404.0,yes,no,unknown,29,may,539,1,-1,0,unknown,yes,first middle
56,blue-collar,married,secondary,no,249.0,yes,no,unknown,29,may,791,2,-1,0,unknown,yes,adult
45,unemployed,divorced,secondary,no,3354.0,yes,no,unknown,29,may,746,1,-1,0,unknown,yes,second middle
60,blue-collar,divorced,secondary,no,0.0,yes,no,unknown,29,may,1207,1,-1,0,unknown,yes,old
56,technician,married,secondary,no,589.0,yes,no,unknown,29,may,535,2,-1,0,unknown,yes,adult
30,admin.,married,secondary,no,873.0,yes,no,unknown,29,may,792,3,-1,0,unknown,yes,first middle
45,blue-collar,divorced,primary,no,594.0,yes,no,unknown,29,may,833,2,-1,0,unknown,yes,second middle
29,blue-collar,single,secondary,no,-20.0,yes,no,unknown,29,may,814,2,-1,0,unknown,yes,young
30,blue-collar,married,secondary,no,486.0,yes,no,unknown,29,may,1109,3,-1,0,unknown,yes,first middle
44,blue-collar,single,primary,no,1593.0,yes,no,unknown,29,may,828,3,-1,0,unknown,yes,second middle
38,technician,married,secondary,no,226.0,yes,no,unknown,30,may,762,3,-1,0,unknown,yes,first middle
36,blue-collar,single,secondary,no,366.0,yes,yes,unknown,30,may,1133,2,-1,0,unknown,yes,first middle
37,management,divorced,secondary,no,16.0,yes,no,unknown,30,may,638,1,-1,0,unknown,yes,first middle
35,management,single,tertiary,no,565.0,yes,no,unknown,30,may,763,1,-1,0,unknown,yes,first middle
38,admin.,divorced,secondary,no,19.0,yes,no,unknown,30,may,604,2,-1,0,unknown,yes,first middle
40,services,married,primary,no,1082.0,yes,no,unknown,30,may,854,2,-1,0,unknown,yes,second middle
42,unemployed,divorced,secondary,no,1713.0,yes,no,unknown,30,may,855,2,-1,0,unknown,yes,second middle
34,technician,divorced,secondary,no,1451.0,yes,no,unknown,30,may,1097,15,-1,0,unknown,yes,first middle
32,services,married,secondary,no,-34.0,yes,no,unknown,30,may,1236,2,-1,0,unknown,yes,first middle
50,unemployed,married,secondary,no,3674.0,yes,no,unknown,30,may,886,3,-1,0,unknown,yes,adult
35,blue-collar,married,secondary,no,698.0,yes,yes,unknown,30,may,1343,3,-1,0,unknown,yes,first middle
53,blue-collar,divorced,primary,no,2656.0,yes,no,unknown,30,may,1980,2,-1,0,unknown,yes,adult
46,management,single,tertiary,no,2904.0,yes,no,unknown,30,may,984,2,-1,0,unknown,yes,second middle
26,management,single,tertiary,no,1004.0,yes,no,unknown,30,may,228,2,-1,0,unknown,yes,young
45,technician,single,secondary,no,410.0,yes,no,unknown,30,may,891,4,-1,0,unknown,yes,second middle
31,unemployed,divorced,primary,no,0.0,yes,no,unknown,30,may,745,12,-1,0,unknown,yes,first middle
29,management,single,tertiary,no,0.0,yes,no,unknown,30,may,539,12,-1,0,unknown,yes,young
53,entrepreneur,single,secondary,no,62.0,yes,no,unknown,30,may,1044,5,-1,0,unknown,yes,adult
27,blue-collar,married,primary,no,416.0,yes,no,unknown,30,may,1193,2,-1,0,unknown,yes,young
39,management,married,tertiary,no,2763.0,yes,no,unknown,2,jun,526,2,-1,0,unknown,yes,first middle
36,services,married,secondary,no,2984.0,yes,no,unknown,2,jun,394,1,-1,0,unknown,yes,first middle
41,blue-collar,married,primary,no,143.0,yes,yes,unknown,2,jun,659,2,-1,0,unknown,yes,second middle
36,services,married,primary,no,0.0,yes,no,unknown,2,jun,1036,1,-1,0,unknown,yes,first middle
32,technician,married,secondary,no,696.0,yes,no,unknown,2,jun,815,1,-1,0,unknown,yes,first middle
35,services,married,secondary,no,152.0,yes,no,unknown,2,jun,563,1,-1,0,unknown,yes,first middle
36,management,single,tertiary,no,-78.0,yes,no,unknown,2,jun,1068,1,-1,0,unknown,yes,first middle
35,management,married,tertiary,no,867.0,yes,no,unknown,2,jun,230,3,-1,0,unknown,yes,first middle
30,blue-collar,single,secondary,no,953.0,yes,no,unknown,2,jun,747,2,-1,0,unknown,yes,first middle
42,blue-collar,married,secondary,no,443.0,yes,no,unknown,2,jun,671,5,-1,0,unknown,yes,second middle
42,technician,single,secondary,yes,-1129.0,yes,no,unknown,2,jun,555,5,-1,0,unknown,yes,second middle
32,blue-collar,married,primary,no,415.0,yes,no,unknown,2,jun,777,4,-1,0,unknown,yes,first middle
29,blue-collar,single,secondary,no,260.0,yes,no,unknown,2,jun,707,14,-1,0,unknown,yes,young
44,management,divorced,tertiary,yes,-411.0,yes,no,unknown,2,jun,432,4,-1,0,unknown,yes,second middle
32,technician,single,secondary,no,1279.0,yes,no,unknown,3,jun,1173,3,-1,0,unknown,yes,first middle
31,unemployed,married,secondary,no,86.0,yes,yes,unknown,3,jun,963,2,-1,0,unknown,yes,first middle
40,self-employed,married,secondary,yes,-754.0,yes,yes,unknown,3,jun,941,3,-1,0,unknown,yes,second middle
43,entrepreneur,married,secondary,no,0.0,no,no,unknown,3,jun,1025,7,-1,0,unknown,yes,second middle
27,management,single,secondary,no,178.0,yes,no,unknown,3,jun,732,2,-1,0,unknown,yes,young
37,services,single,secondary,no,278.0,yes,no,unknown,3,jun,1045,3,-1,0,unknown,yes,first middle
23,services,single,secondary,no,425.0,yes,no,unknown,3,jun,768,1,-1,0,unknown,yes,young
25,management,married,primary,no,168.0,yes,no,unknown,3,jun,801,1,-1,0,unknown,yes,young
26,blue-collar,single,secondary,yes,-36.0,yes,no,unknown,3,jun,482,2,-1,0,unknown,yes,young
47,blue-collar,divorced,primary,no,126.0,yes,no,unknown,3,jun,2456,2,-1,0,unknown,yes,second middle
35,admin.,married,secondary,no,-87.0,yes,no,unknown,3,jun,1363,7,-1,0,unknown,yes,first middle
45,management,divorced,secondary,no,644.0,yes,no,unknown,4,jun,633,1,-1,0,unknown,yes,second middle
30,admin.,divorced,secondary,no,377.0,yes,no,unknown,4,jun,524,15,-1,0,unknown,yes,first middle
29,services,single,secondary,no,-271.0,yes,no,unknown,4,jun,578,1,-1,0,unknown,yes,young
23,blue-collar,single,secondary,no,492.0,yes,no,unknown,4,jun,638,1,-1,0,unknown,yes,young
27,management,single,tertiary,no,99.0,yes,no,unknown,4,jun,767,2,-1,0,unknown,yes,young
27,management,single,tertiary,yes,-713.0,yes,no,unknown,4,jun,525,2,-1,0,unknown,yes,young
29,services,single,secondary,no,32.0,yes,no,unknown,4,jun,563,1,-1,0,unknown,yes,young
30,self-employed,married,tertiary,no,543.0,yes,yes,unknown,4,jun,1449,6,-1,0,unknown,yes,first middle
36,blue-collar,married,primary,no,403.0,yes,no,unknown,4,jun,920,1,-1,0,unknown,yes,first middle
35,admin.,divorced,secondary,no,437.0,yes,no,unknown,4,jun,908,1,-1,0,unknown,yes,first middle
36,blue-collar,married,secondary,no,1772.0,no,no,unknown,5,jun,208,1,-1,0,unknown,yes,first middle
59,retired,divorced,primary,no,-88.0,yes,no,unknown,5,jun,910,2,-1,0,unknown,yes,adult
47,entrepreneur,married,secondary,no,0.0,no,no,unknown,5,jun,1446,1,-1,0,unknown,yes,second middle
58,entrepreneur,married,tertiary,no,853.0,no,no,unknown,5,jun,1149,2,-1,0,unknown,yes,adult
37,management,single,tertiary,no,240.0,no,no,unknown,5,jun,1123,1,-1,0,unknown,yes,first middle
46,admin.,single,secondary,no,849.0,yes,no,unknown,5,jun,508,2,-1,0,unknown,yes,second middle
43,blue-collar,single,secondary,no,318.0,yes,no,unknown,5,jun,736,2,-1,0,unknown,yes,second middle
27,management,single,tertiary,no,703.0,yes,no,unknown,5,jun,590,3,-1,0,unknown,yes,young
38,services,divorced,secondary,no,61.0,no,no,unknown,5,jun,636,1,-1,0,unknown,yes,first middle
53,housemaid,married,primary,no,104.0,no,yes,unknown,5,jun,701,1,-1,0,unknown,yes,adult
47,blue-collar,married,secondary,no,1996.0,no,no,unknown,5,jun,761,2,-1,0,unknown,yes,second middle
56,housemaid,divorced,primary,yes,1238.0,no,no,unknown,5,jun,1558,1,-1,0,unknown,yes,adult
41,housemaid,married,secondary,no,879.0,no,no,unknown,5,jun,1053,2,-1,0,unknown,yes,second middle
29,self-employed,married,secondary,no,425.0,yes,no,unknown,5,jun,562,15,-1,0,unknown,yes,young
50,technician,married,secondary,no,416.0,yes,no,unknown,5,jun,494,5,-1,0,unknown,yes,adult
45,blue-collar,divorced,primary,no,844.0,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes,second middle
35,blue-collar,married,secondary,no,860.0,yes,no,unknown,5,jun,884,4,-1,0,unknown,yes,first middle
26,technician,single,secondary,no,639.0,yes,no,unknown,6,jun,709,5,-1,0,unknown,yes,young
26,admin.,married,secondary,no,710.0,yes,yes,unknown,6,jun,1276,2,-1,0,unknown,yes,young
37,blue-collar,married,secondary,no,1508.0,no,yes,unknown,6,jun,381,2,-1,0,unknown,yes,first middle
30,admin.,single,secondary,no,223.0,yes,no,unknown,6,jun,862,11,-1,0,unknown,yes,first middle
38,management,single,tertiary,no,619.0,yes,no,unknown,6,jun,460,4,-1,0,unknown,yes,first middle
37,services,divorced,secondary,no,319.0,yes,no,unknown,6,jun,467,3,-1,0,unknown,yes,first middle
53,technician,married,secondary,no,480.0,no,no,unknown,6,jun,648,2,-1,0,unknown,yes,adult
29,blue-collar,single,primary,no,213.0,yes,no,unknown,6,jun,2653,3,-1,0,unknown,yes,young
35,management,single,tertiary,no,68.0,no,no,unknown,6,jun,1085,1,-1,0,unknown,yes,first middle
28,blue-collar,married,secondary,no,2788.0,yes,no,unknown,6,jun,369,2,-1,0,unknown,yes,young
49,management,divorced,secondary,no,-46.0,yes,no,unknown,9,jun,1055,10,-1,0,unknown,yes,second middle
50,services,married,secondary,no,1595.0,no,no,unknown,9,jun,882,1,-1,0,unknown,yes,adult
43,management,single,tertiary,no,1046.0,no,no,unknown,9,jun,901,1,-1,0,unknown,yes,second middle
58,self-employed,divorced,tertiary,no,1382.0,no,no,unknown,9,jun,700,1,-1,0,unknown,yes,adult
38,technician,married,primary,no,217.0,yes,no,unknown,9,jun,491,6,-1,0,unknown,yes,first middle
48,blue-collar,divorced,primary,no,183.0,no,no,unknown,9,jun,940,1,-1,0,unknown,yes,second middle
59,management,married,secondary,no,1321.0,no,no,unknown,9,jun,3881,3,-1,0,unknown,yes,adult
58,blue-collar,married,secondary,no,25.0,no,no,unknown,9,jun,486,3,-1,0,unknown,yes,adult
41,admin.,single,secondary,no,812.0,no,yes,unknown,11,jun,583,4,-1,0,unknown,yes,second middle
42,admin.,married,secondary,no,105.0,no,no,unknown,11,jun,1159,4,-1,0,unknown,yes,second middle
39,management,married,tertiary,no,-190.0,no,yes,unknown,11,jun,893,8,-1,0,unknown,yes,first middle
57,housemaid,married,primary,no,625.0,no,yes,unknown,11,jun,867,1,-1,0,unknown,yes,adult
52,retired,married,secondary,no,293.0,no,no,unknown,11,jun,706,1,-1,0,unknown,yes,adult
59,retired,married,secondary,no,1033.0,no,no,unknown,11,jun,1199,1,-1,0,unknown,yes,adult
56,blue-collar,married,secondary,no,1210.0,no,no,unknown,11,jun,935,1,-1,0,unknown,yes,adult
49,management,married,tertiary,no,64.0,no,no,unknown,11,jun,586,1,-1,0,unknown,yes,second middle
35,blue-collar,divorced,secondary,no,164.0,no,no,unknown,11,jun,967,2,-1,0,unknown,yes,first middle
36,unemployed,married,secondary,no,1766.0,no,no,unknown,11,jun,595,2,-1,0,unknown,yes,first middle
40,admin.,single,tertiary,no,1248.0,no,no,unknown,11,jun,1290,2,-1,0,unknown,yes,second middle
55,blue-collar,married,secondary,no,0.0,no,no,unknown,12,jun,614,2,-1,0,unknown,yes,adult
58,admin.,married,secondary,no,826.0,no,no,unknown,12,jun,885,1,-1,0,unknown,yes,adult
39,self-employed,married,tertiary,no,2630.0,no,no,unknown,12,jun,651,5,-1,0,unknown,yes,first middle
47,housemaid,single,tertiary,no,3727.0,no,no,unknown,12,jun,993,6,-1,0,unknown,yes,second middle
